Play_ID,Play_Type,Personnel,Quarter,Play_Clock,Down,Distance,Hash,Field_Position,Gain_Loss,Touchdown,Penalty,Penalty_Type,Result
Bully Lion Rope B-Fly 41 Toll,Sweep,11,1,15:00,1,10,R,-25,9,No,No,,Rush
FIB Rich 45 Cap,Outside Zone,11,1,14:45,2,1,R,-34,5,No,No,,Rush
Hawk Right 52 Frog,Pass,11,1,14:10,1,10,M,-39,17,No,No,,Completed Pass
List Axe Flip 22,Same Side Counter,11,1,13:40,1,10,M,46,7,No,No,,Rush
Rich 46 Nasal,Outside Zone,11,1,13:08,2,3,R,39,5,No,No,,QB Keep
List Tite F 40 Cram,Cram,12,1,12:30,1,10,M,34,9,No,No,,Rush
Rain Weak Axe 41 Cram,Cram,12,1,11:54,2,1,M,25,11,No,No,,Rush
List Tite Lasso Z-Bluff 29 Bang,Pin/Pull,12,1,11:13,1,10,M,14,3,No,No,,Rush
Ranger 42 Cap,Inside Zone,12,1,10:28,2,7,L,11,-2,No,No,,Rush
Hawk Right 52 Frog,Pass,11,1,9:49,3,9,R,13,10,No,No,,QB Scramble
Brown (Rock 40 Bat),Inside Zone,11,1,9:08,1,3,R,3,3,Yes,No,,Rush
Roy Rack Y-In 40 Bat Z Six,RPO,11,1,1:43,1,10,R,-22,8,No,No,,Completed Pass
Rain Strong 41 Cram,Cram,12,1,1:29,2,2,R,-30,0,No,No,,Rush
Lieutenant Strong 40 Deuce,Inside Zone,12,1,1:05,3,2,R,-30,2,No,No,,Rush
Lieutenant Strong 22 Trump,Counter,12,2,15:00,1,10,R,-32,1,No,No,,Rush
Falcon Left Pez 44 Beats Cuffs,Play Action Pass,10,2,14:50,2,9,R,-33,15,No,No,,Completed Pass
Lake Weak 23,Counter,12,2,14:15,1,10,L,-48,10,No,No,,Rush
Load Penn North,Play Action Pass,11,2,13:53,1,10,L,42,0,No,No,,Incomplete Pass
FIB Rock Lally X-Fly 41 Toll,Sweep,11,2,13:24,2,10,L,42,2,No,No,,QB Keep
Link Flex 11 Lock,Pass,10,2,13:03,3,8,L,40,16,No,No,,Completed Pass
Ninja 1,RPO,11,2,12:30,1,10,L,24,9,No,No,,QB Keep
Ninja 2,Outside Zone,11,2,12:02,2,1,L,15,1,No,No,,Rush
Ninja 3,Play Action Pass,11,2,11:36,3,1,R,15,0,No,No,,Incomplete Pass
Lieutenant Strong 41 Deuce,Inside Zone,12,2,11:20,4,1,R,15,1,No,No,,Rush
Rain Weak Axe 41 Cram,Cram,12,2,11:09,1,10,R,14,0,No,No,,Rush
Rich Tite Rope Aux 23 Toll Z Knock,Sweep,12,2,10:27,2,10,R,14,5,No,No,,Rush
Ranger 43 Cap Z Ok,RPO,12,2,9:42,3,5,R,9,3,No,No,,Rush
FIB List 44 Cap,Outside Zone,11,2,6:42,1,10,L,26,-10,No,Yes,Holding,Penalty
Rich Axe Flip 23 X Six,RPO,11,2,6:37,1,20,L,36,0,No,No,,Incomplete Pass
Rio 94,RB Screen,10,2,6:10,2,20,L,36,36,Yes,No,,Touchdown
Ranger Strong 41 Taffy Dribble North,Toss,12,2,2:52,1,10,L,-17,4,No,No,,Rush
Rich Tidal Wave North,Option,11,2,2:42,2,6,R,-21,-2,No,No,,QB Keep
List Tite Z-In 53 Frog,Pass,12,2,2:00,3,8,M,-19,12,No,No,,Fumble
Load 41 Bat,Inside Zone,11,2,0:22,1,10,L,-8,14,No,No,,Rush
Link Flex Buzz 15 Verizon,Pass,11,3,15:00,1,10,L,19,19,Yes,No,,QB Keep
Rock Lasso A-Fly 40 Toll,Sweep,11,3,11:45,1,10,L,-20,9,No,No,,Rush
List Beta Buzz 40 Cram,Cram,11,3,11:33,2,1,L,-29,0,No,No,,Rush
Ranger Strong Chevy 41 Darc,Option,12,3,10:56,3,1,M,-29,28,No,No,,QB Keep
List Tite F 40 Cram X Ok,Cram,12,3,10:08,1,10,R,42,-2,No,No,,Rush
Rich 45 Cap,Outside Zone,11,3,9:24,2,12,R,44,-2,No,No,,Rush
Link Flex 11 Lock Needle,Pass,10,3,8:48,3,14,L,46,46,Yes,No,,Completed Pass
Falcon Left Pez 45 Beats Cuffs,Play Action Pass,11,3,6:09,1,10,L,-25,0,No,No,,Completed Pass
Lieutenant Strong 40 Dolly,Option,12,3,5:57,2,10,R,-25,16,No,No,,QB Keep
Black (Load 41 Bat),Inside Zone,11,3,5:13,1,10,L,-41,0,No,No,,Rush
Rich 40 Bat Boat North,Play Action Pass,11,3,4:37,2,10,L,-41,52,No,No,,Completed Pass
Brown (Rock 40 Bat),Inside Zone,11,3,4:04,1,10,R,17,3,No,No,,Rush
Roy Fist,Pass,10,3,3:36,2,7,R,14,14,Yes,No,,Completed Pass
Load Rack X-Bluff 44 Alley,Outside Zone,11,3,2:07,1,10,R,50,3,No,No,,Rush
Lion Rope Y-In 41 Raft,Play Action Pass,11,3,1:56,2,7,R,47,8,No,No,,QB Scramble
Rock Penn South,Play Action Pass,11,3,1:08,1,10,R,39,7,No,No,,Completed Pass
Rich Tite Flip 46,Outside Zone,12,3,0:46,2,3,L,32,-2,No,No,,Rush
Rich Tite Z-In 52 Frog,Pass,12,4,15:00,3,6,R,35,0,No,No,,Incomplete Pass
Rain Strong Z-Bluff 27 B Lead,QB Run,12,4,13:22,1,10,M,-32,4,No,No,,QB Keep
Rich 41 Q Visor Dribble North,Option,11,4,13:03,2,6,L,-36,2,No,No,,QB Keep
Hawk Left 53 Frog,Pass,11,4,12:23,3,4,L,-38,0,No,No,,QB Keep
Roy Lally Y-Cruise Slammer South,Screen,11,4,7:52,1,10,M,-21,3,No,No,,Completed Pass
Load 41 Bat,Inside Zone,11,4,7:34,2,7,L,-24,8,No,No,,Rush
Rich 46 Nasal,Outside Zone,11,4,6:54,1,10,L,-32,0,No,No,,Rush
Lou Lally Y-In 41 Bat Z Six,RPO,11,4,6:09,2,10,L,-32,0,No,No,,Incomplete Pass
Load Lasso Buzz Branch South,RB Screen,11,4,5:38,3,10,L,-32,14,No,No,,Completed Pass
Load Axe 46,Outside Zone,11,4,5:30,1,10,L,-46,1,No,No,,Rush
Whip,Thowback Pass,22,4,4:55,2,9,R,-47,20,No,No,,Completed Pass
Load 40 Visor Pepper Strike,Play Action Pass,11,4,4:38,1,10,L,33,24,No,No,,Completed Pass
List A-In 40 Soap,Option,11,4,3:37,1,9,R,9,5,No,No,,QB Keep
Rich 40 Bat,Inside Zone,11,4,2:52,2,4,R,4,4,Yes,No,,Rush
Rich 40 Bat,Inside Zone,11,4,2:12,1,10,L,34,26,No,No,,Rush
List 41 Bat,Inside Zone,11,4,2:00,1,8,R,8,1,No,No,,Rush
List A-In 41 Darc,Option,11,4,1:46,2,7,R,7,0,No,No,,QB Keep
Paramus Left 40 Deuce,Inside Zone,12,4,1:10,3,7,R,7,7,Yes,No,,Rush
