Play_ID,Play_Type,Personnel,Quarter,Play_Clock,Down,Distance,Hash,Field_Position,Gain_Loss,Touchdown,Penalty,Penalty_Type,Result
Rio Y-In 28 Bang,Pin/Pull,11,1,14:42,1,10,M,30,3,No,No,,Rush
Falcon Left X-Fly 40 Toll,Sweep,11,1,14:14,2,7,R,27,3,No,No,,Rush
Load Sting Nickel Faulk Hippo,Pass,11,1,14:11,3,4,L,24,9,No,No,,Completed Pass
Hawk Left 53 Coins A Corner,Pass,11,1,13:34,1,10,R,15,3,No,No,,QB Scramble
List Tite Rope 40 Dribble South,Toss,12,1,12:28,2,7,R,12,4,No,No,,Rush
Rich Tite 42 Visor X OK,RPO,12,1,11:51,3,3,L,8,7,No,No,,Rush
Rich Tite 42 Bat,Inside Zone,12,1,10:35,1,1,L,1,-5,No,Yes,Offsides,No Play
Lake Strong A-Orb 40 Cap A Flounder,RPO,12,1,10:35,1,6,L,6,-5,No,No,,Fumble
Lion Y-Anvil 41 Visor,Visor,11,1,8:17,1,10,R,-34,5,No,No,,Rush
Roy B-Over Nickel Bell,Pass,10,1,7:49,2,5,R,-39,0,No,No,,Incomplete Pass
Hollow Left BOA B-Fly 40 Toll,Sweep,11,1,7:39,3,5,R,-39,6,No,No,,Rush
List Dice 47 Z Laredo,Reverse,11,1,7:05,1,10,L,-45,24,No,No,,Rush
Rifle Aux 23 Guy,Counter,11,1,6:20,1,10,R,31,21,No,No,,Rush
Rich Tite 42 Visor X OK,RPO,12,1,5:47,1,10,L,10,9,No,No,,QB Keep
Lake Weak Pez 29 Dash,Pin/Pull,22,1,5:02,2,1,L,1,1,Yes,No,,Rush
Rock Sting 40 Q Visor B Tuna,RPO,11,1,3:22,1,10,R,-46,1,No,No,,Rush
Rich Tite Lasso 23 Guy Y Sail,RPO,12,1,2:33,2,9,M,-47,-1,No,No,,Rush
Rich Jeep North Double Curl,Rollout Pass,11,1,1:43,3,10,L,-46,6,No,No,,Completed Pass
Rio 26 B Lead,Pin/Pull,10,2,14:46,1,10,L,-17,9,No,No,,Rush
Rifle Aux 23 Guy,Counter,11,2,14:12,2,1,M,-26,3,No,No,,Rush
Load Buzz 41 Visor A Stab,RPO,11,2,13:39,1,10,L,-29,32,No,No,,QB Scramble
FIB List Dice 47 Z Phantom,Fake Reverse,11,2,12:49,1,10,L,39,-3,No,No,,Rush
Rich Tite F Lasso 47 Y Pop,RPO,12,2,12:10,2,13,L,42,3,No,No,,QB Scramble
Rio Rack Z-In 11 Lock Casino Z OK,Pass,10,2,11:21,3,10,L,39,-10,No,Yes,Holding,QB Scramble
Hollow Right Y Branch North,Y Screen,11,2,11:09,3,20,L,49,14,No,No,,Completed Pass
Rich Tite Flip 41 Deuce,Inside Zone,12,2,4:49,1,10,L,-18,1,No,No,,Rush
Hollow Right Lasso Nickel Thump Seminole KO,Pass,11,2,4:16,2,9,L,-19,0,No,No,,Incomplete Pass
Hollow Right BOA B-Fly 41 Toll,Sweep,11,2,4:05,3,9,L,-19,8,No,No,,QB Keep
Lion Y-In 29 Bang,Pin/Pull,11,2,1:51,1,10,R,-11,4,No,No,,Rush
Paramus Right 23 Guy Y Sail,RPO,12,2,1:17,2,6,L,-15,-1,No,No,,Rush
Load Z-Cruise Slammer North,WR Screen,11,2,1:06,3,7,L,-14,1,No,No,,Completed Pass
Rock Anvil 40 Cap,Inside Zone,11,3,14:55,1,10,M,-17,1,No,No,,Rush
Rock Rope 11 A KO,Pass,11,3,14:25,2,9,R,-18,-9,No,Yes,Offensive Pass Interference,Completed Pass
Lion Lally Z-In 11 Lock Casino Z OK,Pass,10,3,13:54,2,18,R,-9,1,No,No,,Completed Pass
Lou B-Over Nickel Seminole KO,Pass,10,3,13:06,3,17,L,-10,16,No,No,,QB Scramble
Load Anvil 41 Visor Z Stab,RPO,11,3,10:27,1,10,L,-16,30,No,No,,Completed Pass
Rock Rope A-Fly 23 Lincoln Toll,Sweep,11,3,9:53,1,10,M,-46,-3,No,No,,QB Keep
Lieutenant Davinci Check,Double Visor,12,3,9:13,2,13,L,-43,1,No,No,,Rush
Link Flex 10 Lock Chopper,Pass,10,3,8:30,3,12,L,-44,14,No,No,,QB Scramble
Violet (List 41 Visor),Visor,11,3,7:58,1,10,M,42,3,No,No,,Rush
Rock 11 Pin,Pass,11,3,7:22,2,7,M,39,-5,No,Yes,Illegal Man Downfield,Completed Pass
Rock 11 Pin,Pass,11,3,6:45,2,12,M,44,3,No,No,,QB Scramble
Roy Z-In 11 Lock X Strong Z Shallow,Pass,10,3,5:53,3,9,R,41,11,No,No,,Completed Pass
Violet (List 41 Visor),Visor,11,3,5:28,1,10,L,30,2,No,No,,Rush
Rifle Aux 27 B Lead,Pin/Pull,11,3,4:41,2,8,M,28,6,No,No,,Rush
Hawk Right Lasso 13 X Snake Y Sail,Pass,11,3,4:04,3,3,L,22,-10,No,Yes,Holding,QB Scramble
Rich Rack 57 Nextel B Wheel,Pass,11,3,3:30,3,13,L,33,24,No,No,,Completed Pass
Link Buzz 43 War Pepper A Wax,Play Action Pass,11,3,2:53,1,9,L,9,-7,No,No,,Sack
Rio Spotify,RPO,11,3,1:59,2,16,L,16,4,No,No,,Rush
Rich Tite 42 Visor X OK,RPO,12,3,1:22,3,12,L,12,12,Yes,No,,Completed Pass
Rich Tite Rope Z-Cruise Rude Z Curfew X Post,Play Action Pass,12,4,13:27,1,10,L,-37,7,No,No,,QB Scramble
List Rope 44 Thunder,Option,11,4,12:47,2,3,L,-44,33,No,No,,QB Keep
Laser Aux Flip 40 Cap,Inside Zone,11,4,12:05,1,10,L,23,-10,No,Yes,Holding,Rush
Rich Float 41 Alley,Option,11,4,11:53,1,20,L,33,3,No,No,,Rush
Load Lasso 10 A KO,Pass,11,4,11:17,2,17,L,30,8,No,No,,Completed Pass
Hawk Right Rope 11 KO,Pass,11,4,10:38,3,9,L,22,-10,No,Yes,Holding,Incomplete Pass
Lake Weak Pez 29 Dash,Pin/Pull,22,4,9:00,1,7,L,7,1,No,No,,Rush
Lake Weak B-Mo 29 Q Dash,Pin/Pull,22,4,8:32,2,6,L,6,3,No,No,,Rush
