Play_ID,Play_Type,Personnel,Quarter,Play_Clock,Down,Distance,Hash,Field_Position,Gain_Loss,Touchdown,Penalty,Penalty_Type,Result
Load I Pez Z-Over 21,Duo,11,1,7:21,1,10,L,-25,21,No,No,,Rush
Toad Load 41,Inside Zone,20,1,7:14,1,10,L,-46,2,No,No,,Rush
Hollow Right B-Motor 46 War X Chop,RPO,11,1,6:39,2,8,M,-48,5,No,No,,QB Scramble
Ranger I Z-Bluff 41 Back,Inside Zone,12,1,5:59,3,3,M,47,0,No,No,,Rush
Lou 10 A KO,Pass,10,1,1:50,1,10,L,-15,7,No,No,,Completed Pass
FIB Rock 40 Bat,Inside Zone,11,1,1:47,2,3,L,-22,2,No,No,,Rush
Ranger I Z-Bluff 42 Cap,Inside Zone,12,1,1:08,3,1,L,-24,2,No,No,,Rush
Load Twig South,RB Screen,11,2,15:00,1,10,M,-26,19,No,No,,Completed Pass
Ranger Strong Pez 46 Bat,Outside Zone,12,2,14:43,1,10,L,-45,3,No,No,,Rush
Load I Pez Z-Over 21,Duo,11,2,14:21,2,7,M,-48,2,No,No,,Rush
Lou Anvil Jeep North Tom Tom,Rollout,11,2,13:24,3,5,L,50,0,No,No,,Incomplete Pass
Lake Weak 23 Bullet,QB Counter,12,2,12:52,1,10,L,35,1,No,No,,Rush
Lake Weak 40 Alchy,Option,12,2,12:44,2,9,L,34,1,No,No,,QB Keep
Load Money,Pass,11,2,12:06,3,8,L,33,10,No,No,,Completed Pass
Ranger Strong 46 Fat,Outside Zone,12,2,11:23,1,10,L,23,-10,No,Yes,Holding,Rush
Rio Hulk X Chop,Draw,10,2,10:43,1,20,L,33,12,No,No,,Rush
Load Axe 46 War Z Chop,RPO,11,2,10:12,2,8,L,21,0,No,No,,Incomplete Pass
Load Slick,Pass,11,2,9:37,3,8,L,21,0,No,No,,Incomplete Pass
Load Rack X-Fly 40 Toll,Sweep,11,2,4:14,1,10,R,-40,4,No,No,,Rush
Hawk Right Lasso Pez Axe 29 Dash,Pin/Pull,11,2,4:06,2,6,L,-44,4,No,No,,Rush
Rich I 27 B Lead,Pin/Pull,11,2,3:27,3,2,L,-48,1,No,No,,QB Rush
Rich Rude X-Post Dunkin,Play Action Pass,11,2,1:54,1,10,M,46,0,No,No,,Incomplete Pass
Rich Tsunami North,Option,11,2,1:46,2,10,M,46,5,No,No,,Rush
Roy Sting Nickel Faulk B Tuna,Pass,10,2,1:36,3,5,R,41,-2,No,No,,Sack
List 41 Bat,Inside Zone,11,2,:07,1,10,R,-16,16,No,No,,Rush
List 41 Bat,Inside Zone,11,2,:01,1,10,R,-32,1,No,No,,Rush
List A-Anvil 40 Deuce,Inside Zone,12,3,14:54,1,10,L,-10,-3,No,No,,Rush
Rock I 10 Croc,Pass,11,3,14:39,2,13,R,-7,-2,No,No,,Sack
Vacant Left B Race South,Pass,10,3,13:57,3,15,R,-5,15,No,No,,Completed Pass
Rio Hulk X Chop,QB Draw,10,3,13:05,1,10,L,-20,6,No,No,,Rush
Hawk Right Lasso Pez Axe 29 Dash,Pin/Pull,11,3,12:37,2,4,L,-26,3,No,No,,Rush
Void Left Tite B-Enter 43 Cap,Inside Zone,11,3,11:52,3,1,L,-29,2,No,No,,Rush
Vacant Right Nickel Bell,Pass,10,3,11:19,1,10,L,-31,12,No,No,,QB Scramble
Load 41 Pedro,Option,20,3,10:33,1,10,M,-43,7,No,No,,QB Keep
Lake Weak 23 Bullet,QB Counter,12,3,9:59,2,3,M,50,8,No,No,,Rush
FIB Hawk Left A-Cruise 41 Paddle,Play Action Pass,11,3,9:16,1,10,L,42,0,No,No,,Incomplete Pass
Rock A-Bluff 40 Bat,Inside Zone,11,3,8:44,2,10,L,42,0,No,No,,Rush
Link Flex Buzz Chopper,Pass,10,3,8:35,3,10,L,42,2,No,No,,QB Scramble
Rock 41 Tax,Option,11,3,4:53,1,10,L,-35,-4,No,No,,Rush
List Loud Out Robber,Play Action Pass,11,3,4:43,2,14,R,-31,17,No,No,,Completed Pass
FIB Rock Pez A-Bluff 45 Cap,Outside Zone,11,3,4:00,1,10,R,-48,-10,No,Yes,Holding,Rush
FIB Load 41 Bat,Inside Zone,11,3,3:27,1,20,R,-38,2,No,No,,Rush
Lion Y-Cruise Pump 95,RB Screen,10,3,2:36,2,18,R,-40,0,No,No,,Incomplete Pass
Roy Bell,Pass,10,3,2:25,3,18,R,-40,4,No,No,,QB Scramble
List A-Mo Twig South,RB Screen,11,4,10:57,1,10,L,-12,12,No,No,,Completed Pass
Load I Rack Z-Over Jelly,Pass,11,4,10:44,1,10,L,-24,9,No,No,,QB Scramble
Brown (Rock 40 Bat),Inside Zone,11,4,10:05,2,1,R,-33,4,No,No,,Rush
