Play_ID,Play_Type,Personnel,Quarter,Play_Clock,Down,Distance,Hash,Field_Position,Gain_Loss,Touchdown,Penalty,Penalty_Type,Result,,,,,,,,,,,,,,,
Rock Axe 44 Visor,Midzone,11,1,14:53,1,10,L,-30,5,No,No,,Rush,,,,,,,,,,,,,,,
Lion 40 War Spotify,RPO,11,1,14:43,2,5,R,-35,4,No,No,,Completed Pass,,,,,,,,,,,,,,,
Lake Weak Dice 23 B Trump,Counter,12,1,14:16,3,1,L,-39,5,No,No,,Rush,,,,,,,,,,,,,,,
Lou Lasso 17 License Miami,Smash,10,1,13:39,1,10,L,-44,5,No,No,,Completed Pass,,,,,,,,,,,,,,,
Load Axe 45 Visor,Midzone,11,1,13:05,2,5,R,-49,1,No,No,,Rush,,,,,,,,,,,,,,,
List 47 Yacht,Midzone,11,1,12:28,3,4,M,50,8,No,No,,Rush,,,,,,,,,,,,,,,
Rich Tite Lasso F Flip 42 Bat,Inside Zone,12,1,11:56,1,10,L,42,7,No,No,,Rush,,,,,,,,,,,,,,,
List Tite Lasso F Flip 43 Bat,Inside Zone,12,1,11:15,2,3,M,35,20,No,No,,Rush,,,,,,,,,,,,,,,
Lou Salem 41 Y Raft,RPO,11,1,10:42,1,10,L,15,7,No,No,,Scramble,,,,,,,,,,,,,,,
Roy OK Thor,QB Draw,10,1,10:04,2,3,M,8,0,No,No,,Incomplete Pass,,,,,,,,,,,,,,,
Ranger 42 Cap,Inside Zone,12,1,9:30,3,3,M,8,8,No,No,,Incomplete Pass,,,,,,,,,,,,,,,
List Buzz 29 Bang,Pin/Pull,11,1,7:47,1,10,L,-34,5,No,No,,Rush,,,,,,,,,,,,,,,
Roy A Bluff 26 B Lead,QB Iso,10,1,7:40,2,5,L,-39,6,No,No,,QB Keep,,,,,,,,,,,,,,,
List Rope Pez 47,Midzone,11,1,6:56,1,10,R,-45,6,No,No,,Rush,,,,,,,,,,,,,,,
List 22 Trump Pepper X Paver,Play-Action,21,1,6:19,2,4,L,49,49,Yes,No,,Completed Pass,,,,,,,,,,,,,,,
List 47 Yacht,Midzone,21,1,4:04,1,10,R,-31,27,No,No,,Rush,,,,,,,,,,,,,,,
Ranger A Fly 23 Lincoln Toll,Counter,12,1,3:55,1,10,L,42,1,No,No,,Rush,,,,,,,,,,,,,,,
Rich Tite Lasso F Z Bluff 28 Arrow Dash,Pin/Pull,12,1,3:10,2,9,R,41,15,No,No,,Rush,,,,,,,,,,,,,,,
Ranger 41 Back Pepper Shake,Play-Action,12,1,2:30,1,10,R,26,19,No,No,,Scramble,,,,,,,,,,,,,,,
Lake Weak 40 Back,Inside Zone,12,1,1:42,1,7,R,7,7,Yes,No,,Rush,,,,,,,,,,,,,,,
Paramus Right 23 Lincoln Tax,Counter,12,2,13:46,1,10,L,-32,7,No,No,,Rush,,,,,,,,,,,,,,,
Roy A Bluff 26 B Lead,QB Iso,10,2,13:32,2,3,M,-39,6,No,No,,QB Keep,,,,,,,,,,,,,,,
Rain Strong 41 Duece,Inside Zone,12,2,12:56,1,10,R,-45,2,No,No,,Rush,,,,,,,,,,,,,,,
List Rope Pez 47,Midzone,11,2,12:15,2,8,R,-47,12,No,No,,Rush,,,,,,,,,,,,,,,
Rio 41 War Spotify,RPO,11,2,11:41,1,10,L,40,5,No,No,,Completed Pass,,,,,,,,,,,,,,,
List Rope 44 Visor,Midzone,11,2,11:02,2,5,M,35,4,No,No,,Rush,,,,,,,,,,,,,,,
Rich I 42 Bat,Inside Zone,12,2,10:28,3,1,R,31,5,No,No,,Rush,,,,,,,,,,,,,,,
Lieutenant A-In 40 Cap Pepper Disney,Play-Action,12,2,9:43,1,10,R,26,0,No,No,,Incomplete Pass,,,,,,,,,,,,,,,
Paramus Left 43 Bat,Inside Zone,12,2,9:01,2,10,R,26,0,No,No,,Rush,,,,,,,,,,,,,,,
Lou Swap Branch South,RB Screen,10,2,8:48,3,10,M,26,-5,No,Yes,Illegal Man Downfield,Completed Pass,,,,,,,,,,,,,,,
Paramus Left Dice 22 B Trump,Veer,12,2,8:12,3,5,L,21,6,No,No,,Rush,,,,,,,,,,,,,,,
Load I Z-Fly 43 Toll Goulet,Double Pass,11,2,7:59,1,10,M,15,10,No,No,,Double Completed Pass,,,,,,,,,,,,,,,
Paramus Left Dice 22 B Trump,Veer,12,2,7:36,1,5,R,5,-2,No,Yes,Defensive Facemask,Rush,,,,,,,,,,,,,,,
Ranger 42 Cap,Inside Zone,12,2,6:53,1,3,R,3,3,Yes,No,,Rush,,,,,,,,,,,,,,,
Rich 46 Yacht,Midzone,21,2,6:15,1,10,R,47,4,No,No,,Rush,,,,,,,,,,,,,,,
Rich Lasso Pez Dice 47,Midzone,11,2,6:06,2,6,R,43,14,No,No,,Rush,,,,,,,,,,,,,,,
Paramus Left (Axe) 46 Nasil (Flow),Midzone,12,2,5:27,1,10,L,29,-1,No,No,,QB Keep,,,,,,,,,,,,,,,
Lake Strong Bulky North Heat,Smash,12,2,4:43,2,11,L,30,1,No,No,,Scramble,,,,,,,,,,,,,,,
